qid,gen,kind,nickname_audit,en,ja,zh_tw,zh_cn,maker,first_release,wikidata_url
Q744987,1,home,Magnavox Odyssey,Odyssey,オデッセイ,Magnavox Odyssey,Magnavox Odyssey,Magnavox,1972-09-01,https://www.wikidata.org/wiki/Q744987
Q6390435,1,home,Atari Home Pong,Atari Home Pong series,,,,,1975-01-01,https://www.wikidata.org/wiki/Q6390435
Q1064163,1,home,Coleco Telstar,Coleco Telstar series,コレコ・テルスター,Telstar,Telstar,Coleco,,https://www.wikidata.org/wiki/Q1064163
Q206261,2,home,Atari 2600,Atari 2600,Atari 2600,Atari 2600,Atari 2600,"Atari, Inc.",1977-09-01,https://www.wikidata.org/wiki/Q206261
Q743222,2,home,Atari 5200,Atari 5200,Atari 5200,雅達利5200,雅達利5200,Atari Corporation,1982-11-01,https://www.wikidata.org/wiki/Q743222
Q1061441,2,home,Intellivision,Intellivision,インテレビジョン,Intellivision,Intellivision,INTV,1979-01-01,https://www.wikidata.org/wiki/Q1061441
Q1046862,2,home,ColecoVision,ColecoVision,コレコビジョン,ColecoVision,ColecoVision,Coleco,1982-08-01,https://www.wikidata.org/wiki/Q1046862
Q767631,2,home,Vectrex,Vectrex,光速船,Vectrex,Vectrex,Milton Bradley Company,1982-11-20,https://www.wikidata.org/wiki/Q767631
Q576932,2,home,Magnavox Odyssey 2,Magnavox Odyssey 2,マグナボックス・オデッセイ2,米罗华奥德赛²,米罗华奥德赛²,Magnavox,1978-12-01,https://www.wikidata.org/wiki/Q576932
Q172742,3,home,Nintendo Entertainment System / Famicom,Nintendo Entertainment System,ファミリーコンピュータ,紅白機,红白机,Nintendo Research & Development 2,1983-07-15,https://www.wikidata.org/wiki/Q172742
Q209868,3,home,Sega Master System,Sega Master System,セガ・マスターシステム,世嘉Master System,世嘉Master System,Tectoy,1986-09-01,https://www.wikidata.org/wiki/Q209868
Q753600,3,home,Atari 7800,Atari 7800,Atari 7800,雅达利7800,雅达利7800,Atari Corporation,1986-05-01,https://www.wikidata.org/wiki/Q753600
Q183259,4,home,Super Nintendo / Super Famicom,Super Nintendo Entertainment System,スーパーファミコン,超級任天堂,超级任天堂,Nintendo Research & Development 2,1990-11-21,https://www.wikidata.org/wiki/Q183259
Q10676,4,home,Sega Genesis / Mega Drive,Sega Genesis,メガドライブ,Mega Drive,Mega Drive,,1988-10-29,https://www.wikidata.org/wiki/Q10676
Q1057377,4,home,TurboGrafx-16 / PC Engine,TurboGrafx-16,PCエンジン,PC Engine,PC Engine,NEC,1987-10-30,https://www.wikidata.org/wiki/Q1057377
Q64428080,4,home,Neo Geo AES,Neo Geo AES,Neo Geo AES,Neo Geo AES,Neo Geo AES,SNK,1990-04-26,https://www.wikidata.org/wiki/Q64428080
Q1047516,4,home,Sega CD / Mega-CD,Sega CD,メガCD,Sega CD,Sega CD,,1991-12-12,https://www.wikidata.org/wiki/Q1047516
Q10677,5,home,PlayStation,PlayStation,PlayStation,PlayStation,PlayStation,Sony Interactive Entertainment,1994-12-03,https://www.wikidata.org/wiki/Q10677
Q184839,5,home,Nintendo 64,Nintendo 64,NINTENDO 64,任天堂64,任天堂64,Silicon Graphics,1996-06-23,https://www.wikidata.org/wiki/Q184839
Q200912,5,home,Sega Saturn,Sega Saturn,セガサターン,Sega Saturn,Sega Saturn,,1994-11-22,https://www.wikidata.org/wiki/Q200912
Q229429,5,home,3DO Interactive Multiplayer,3DO,3DO,3DO,3DO,Creative Technology,1993-10-04,https://www.wikidata.org/wiki/Q229429
Q15015195,5,home,Apple Pippin,Apple Pippin,ピピンアットマーク,Apple Pippin,Apple Pippin,Bandai,,https://www.wikidata.org/wiki/Q15015195
Q650601,5,home,Atari Jaguar,Atari Jaguar,Atari Jaguar,Atari Jaguar,Atari Jaguar,Atari Corporation,1993-11-23,https://www.wikidata.org/wiki/Q650601
Q184198,6,home,Sega Dreamcast,Dreamcast,ドリームキャスト,Dreamcast,Dreamcast,,1998-11-27,https://www.wikidata.org/wiki/Q184198
Q10680,6,home,PlayStation 2,PlayStation 2,PlayStation 2,PlayStation 2,PlayStation 2,Sony Interactive Entertainment,2000-03-04,https://www.wikidata.org/wiki/Q10680
Q182172,6,home,Nintendo GameCube,Nintendo GameCube,ニンテンドーゲームキューブ,任天堂GameCube,任天堂GameCube,,2001-09-14,https://www.wikidata.org/wiki/Q182172
Q132020,6,home,Xbox,Xbox,Xbox,Xbox,Xbox,Flex Ltd.,2001-11-15,https://www.wikidata.org/wiki/Q132020
Q10683,7,home,PlayStation 3,PlayStation 3,PlayStation 3,PlayStation 3,PlayStation 3,Sony Interactive Entertainment,2006-11-11,https://www.wikidata.org/wiki/Q10683
Q48263,7,home,Xbox 360,Xbox 360,Xbox 360,Xbox 360,Xbox 360,Flex Ltd.,2005-11-22,https://www.wikidata.org/wiki/Q48263
Q8079,7,home,Wii,Wii,Wii,Wii,Wii,Foxconn,2006-11-19,https://www.wikidata.org/wiki/Q8079
Q5014725,8,home,PlayStation 4,PlayStation 4,PlayStation 4,PlayStation 4,PlayStation 4,Sony Interactive Entertainment,2013-11-15,https://www.wikidata.org/wiki/Q5014725
Q13361286,8,home,Xbox One,Xbox One,Xbox One,Xbox One,Xbox One,Flex Ltd.,2013-11-22,https://www.wikidata.org/wiki/Q13361286
Q56942,8,home,Wii U,Wii U,Wii U,Wii U,Wii U,,2012-11-18,https://www.wikidata.org/wiki/Q56942
Q19610114,8,hybrid,Nintendo Switch,Nintendo Switch,Nintendo Switch,任天堂Switch,任天堂Switch,Nintendo Platform Technology Development,2017-03-03,https://www.wikidata.org/wiki/Q19610114
Q63184502,9,home,PlayStation 5,PlayStation 5,PlayStation 5,PlayStation 5,PlayStation 5,Sony Group,2020-11-12,https://www.wikidata.org/wiki/Q63184502
Q64513817,9,home,Xbox Series X,Xbox Series X,Xbox Series X,Xbox Series X,Xbox Series X,Microsoft,2020-11-10,https://www.wikidata.org/wiki/Q64513817
Q98967383,9,home,Xbox Series S,Xbox Series S,Xbox Series S,Xbox Series S,Xbox Series S,Microsoft,2020-11-10,https://www.wikidata.org/wiki/Q98967383
Q122761124,9,hybrid,Nintendo Switch 2,Nintendo Switch 2,Nintendo Switch 2,任天堂Switch 2,任天堂Switch 2,Foxconn,2025-06-05,https://www.wikidata.org/wiki/Q122761124
Q186437,h,handheld,Game Boy,Game Boy,ゲームボーイ,Game Boy,Game Boy,Nintendo Research & Development 1,1989-04-21,https://www.wikidata.org/wiki/Q186437
Q203992,h,handheld,Game Boy Color,Game Boy Color,ゲームボーイカラー,Game Boy Color,Game Boy Color,Nintendo Research & Engineering Department,1998-10-21,https://www.wikidata.org/wiki/Q203992
Q188642,h,handheld,Game Boy Advance,Game Boy Advance,ゲームボーイアドバンス,Game Boy Advance,Game Boy Advance,,2001-03-21,https://www.wikidata.org/wiki/Q188642
Q170323,h,handheld,Nintendo DS,Nintendo DS,ニンテンドーDS,任天堂DS,任天堂DS,,2004-11-21,https://www.wikidata.org/wiki/Q170323
Q203597,h,handheld,Nintendo 3DS,Nintendo 3DS,ニンテンドー3DS,任天堂3DS,任天堂3DS,,2011-02-26,https://www.wikidata.org/wiki/Q203597
Q751719,h,handheld,Sega Game Gear,Game Gear,ゲームギア,Game Gear,Game Gear,,1990-10-06,https://www.wikidata.org/wiki/Q751719
Q170325,h,handheld,PlayStation Portable,PlayStation Portable,PlayStation Portable,PlayStation Portable,PlayStation Portable,Sony Interactive Entertainment,2004-12-12,https://www.wikidata.org/wiki/Q170325
Q188808,h,handheld,PlayStation Vita,PlayStation Vita,PlayStation Vita,PlayStation Vita,PlayStation Vita,Sony Interactive Entertainment,2011-12-17,https://www.wikidata.org/wiki/Q188808
Q1065792,h,handheld,WonderSwan,WonderSwan,ワンダースワン,WonderSwan,WonderSwan,Bandai,1999-03-04,https://www.wikidata.org/wiki/Q1065792
Q939881,h,handheld,Neo Geo Pocket,Neo Geo Pocket,ネオジオポケット,Neo Geo Pocket,Neo Geo Pocket,SNK,1998-10-28,https://www.wikidata.org/wiki/Q939881
Q336434,h,handheld,Nokia N-Gage,N-Gage,N-Gage,N-Gage,N-Gage,,2003-10-07,https://www.wikidata.org/wiki/Q336434
Q164651,h,handheld,Virtual Boy,Virtual Boy,バーチャルボーイ,Virtual Boy,Virtual Boy,Nintendo Research & Development 1,1995-07-21,https://www.wikidata.org/wiki/Q164651
Q753657,h,handheld,Atari Lynx,Atari Lynx,Atari Lynx,雅达利Lynx,雅达利Lynx,Atari Corporation,1989-09-01,https://www.wikidata.org/wiki/Q753657
Q966193,h,handheld,TurboExpress,TurboExpress,PCエンジンGT,PC Engine GT,PC Engine GT,NEC,1990-12-01,https://www.wikidata.org/wiki/Q966193
Q1475303,h,handheld,Microvision,Microvision,Microvision,Microvision,Microvision,Milton Bradley Company,1979-11-01,https://www.wikidata.org/wiki/Q1475303
Q2498396,h,handheld,Tiger Game.com,Game.com,game.com,,,Tiger Electronics,1997-01-01,https://www.wikidata.org/wiki/Q2498396
Q523532,h,handheld,Tapwave Zodiac,Tapwave Zodiac,,,,Tapwave,2003-01-01,https://www.wikidata.org/wiki/Q523532
